country_code,indicator,year,value
MWI,WHOSIS_000001,2019,63.22930485
KOR,WHOSIS_000001,2008,79.90917941
BLR,WHOSIS_000001,2019,74.8186819
GIN,WHOSIS_000001,2009,57.8555884
UGA,WHOSIS_000001,2018,65.71888649
NLD,WHOSIS_000001,2016,81.34048104
IDN,WHOSIS_000001,2008,68.84079087
DOM,WHOSIS_000001,2006,72.80245873
CIV,WHOSIS_000001,2014,60.06789432
EMR,WHOSIS_000001,2021,68.48743553
ERI,WHOSIS_000001,2018,63.47224104
POL,WHOSIS_000001,2014,77.47281866
PRY,WHOSIS_000001,2006,74.82171264
DNK,WHOSIS_000001,2011,79.68812406
AUS,WHOSIS_000001,2000,79.69831946
PHL,WHOSIS_000001,2001,69.62976888
PRY,WHOSIS_000001,2017,75.34684774
CZE,WHOSIS_000001,2018,78.89195159
TZA,WHOSIS_000001,2005,56.55203228
GNQ,WHOSIS_000001,2017,61.20572328
PRT,WHOSIS_000001,2018,81.06316039
IRQ,WHOSIS_000001,2011,71.39863224
HRV,WHOSIS_000001,2006,76.02870627
CUB,WHOSIS_000001,2021,73.67333077
LVA,WHOSIS_000001,2003,70.55494078
GBR,WHOSIS_000001,2017,80.92411386
TON,WHOSIS_000001,2002,71.2515614
IDN,WHOSIS_000001,2006,68.40129097
ESP,WHOSIS_000001,2017,82.67579627
URY,WHOSIS_000001,2015,77.09925201
BRA,WHOSIS_000001,2003,72.30491342
FJI,WHOSIS_000001,2006,67.08069927
TON,WHOSIS_000001,2016,72.56032607
GLOBAL,WHOSIS_000001,2015,72.18568947
ATG,WHOSIS_000001,2016,75.54812509
WB_HI,WHOSIS_000001,2002,77.91958141
SUR,WHOSIS_000001,2000,70.55904903
UZB,WHOSIS_000001,2009,66.2800996
ECU,WHOSIS_000001,2017,77.31252311
NZL,WHOSIS_000001,2003,79.05551434
ALB,WHOSIS_000001,2013,77.77410839
ZWE,WHOSIS_000001,2021,58.48102238
RUS,WHOSIS_000001,2011,69.77052933
HTI,WHOSIS_000001,2005,58.63996581
BEN,WHOSIS_000001,2020,64.40363479
BFA,WHOSIS_000001,2005,55.19811279
KGZ,WHOSIS_000001,2000,65.93470005
WB_LI,WHOSIS_000001,2001,54.40413809
TCD,WHOSIS_000001,2011,56.17787256
SEAR,WHOSIS_000001,2007,66.92530001
TON,WHOSIS_000001,2021,72.72088222
HRV,WHOSIS_000001,2003,74.86052687
LTU,WHOSIS_000001,2003,71.84648999
PAK,WHOSIS_000001,2009,63.92267166
GRD,WHOSIS_000001,2008,70.92544169
DZA,WHOSIS_000001,2014,75.93393131
GNB,WHOSIS_000001,2003,51.43513822
MNE,WHOSIS_000001,2004,73.73506539
AMR,WHOSIS_000001,2001,74.30398059
VEN,WHOSIS_000001,2006,74.69093059
FSM,WHOSIS_000001,2003,64.10175678
CUB,WHOSIS_000001,2014,78.1433227
TON,WHOSIS_000001,2005,71.97193468
UKR,WHOSIS_000001,2018,72.71826067
MRT,WHOSIS_000001,2010,68.45329118
LKA,WHOSIS_000001,2015,76.44590803
VNM,WHOSIS_000001,2019,73.71007094
TUR,WHOSIS_000001,2019,77.61966184
SAU,WHOSIS_000001,2005,71.81634573
CYP,WHOSIS_000001,2018,82.05668584
TUN,WHOSIS_000001,2015,76.78627015
ECU,WHOSIS_000001,2006,73.97387898
ARM,WHOSIS_000001,2005,72.0754129
FIN,WHOSIS_000001,2003,78.41020069
TJK,WHOSIS_000001,2006,68.48925177
GHA,WHOSIS_000001,2001,59.15248936
CRI,WHOSIS_000001,2005,79.72199388
MDA,WHOSIS_000001,2017,72.85856435
PRY,WHOSIS_000001,2020,75.24817035
ZMB,WHOSIS_000001,2003,47.10240747
MEX,WHOSIS_000001,2015,75.93967708
SVK,WHOSIS_000001,2007,74.470327
CMR,WHOSIS_000001,2016,59.79056297
KOR,WHOSIS_000001,2007,79.37954426
COM,WHOSIS_000001,2020,68.30703432
COL,WHOSIS_000001,2005,74.43998835
CZE,WHOSIS_000001,2006,76.60775206
COD,WHOSIS_000001,2013,58.89523659
URY,WHOSIS_000001,2008,76.39345878
PRI,WHOSIS_000001,2000,76.24708096
ARM,WHOSIS_000001,2018,75.62030513
MWI,WHOSIS_000001,2011,58.10856356
CUB,WHOSIS_000001,2009,78.01983317
LVA,WHOSIS_000001,2002,70.10625692
IND,WHOSIS_000001,2020,70.1869093
CIV,WHOSIS_000001,2001,51.50148868
SVK,WHOSIS_000001,2013,76.47557345
URY,WHOSIS_000001,2016,76.84527198
WB_HI,WHOSIS_000001,2010,79.83143411
COG,WHOSIS_000001,2019,62.75844008
KEN,WHOSIS_000001,2001,54.33283599
LBN,WHOSIS_000001,2009,77.79033646
