country,country_code,indicator,year,value
Ethiopia,ETH,SP.POP.TOTL,1966,24952689.0
Ethiopia,ETH,SP.POP.TOTL,1965,24310612.0
Ethiopia,ETH,SP.POP.TOTL,1964,23666548.0
Ethiopia,ETH,SP.POP.TOTL,1963,23051637.0
Ethiopia,ETH,SP.POP.TOTL,1962,22465126.0
Ethiopia,ETH,SP.POP.TOTL,1961,21906102.0
Ethiopia,ETH,SP.POP.TOTL,1960,21376693.0
Kenya,KEN,SE.PRM.ENRR,2023,98.2483475806861
Kenya,KEN,SE.PRM.ENRR,2022,98.551967362001
Kenya,KEN,SE.PRM.ENRR,2021,93.7669067632864
Kenya,KEN,SE.PRM.ENRR,2020,91.9542486020668
Kenya,KEN,SE.PRM.ENRR,2019,77.5132254988803
Kenya,KEN,SE.PRM.ENRR,2018,99.770420205161
Kenya,KEN,SE.PRM.ENRR,2017,101.957891317521
Kenya,KEN,SE.PRM.ENRR,2016,104.114852905273
Kenya,KEN,SE.PRM.ENRR,2015,104.780090332031
Kenya,KEN,SE.PRM.ENRR,2014,107.141220092773
Kenya,KEN,SE.PRM.ENRR,2012,111.422226680456
Kenya,KEN,SE.PRM.ENRR,2009,107.945739746094
Kenya,KEN,SE.PRM.ENRR,2008,107.076469421387
Kenya,KEN,SE.PRM.ENRR,2007,107.582710266113
Kenya,KEN,SE.PRM.ENRR,2006,101.201988220215
Kenya,KEN,SE.PRM.ENRR,2005,103.62956237793
Kenya,KEN,SE.PRM.ENRR,2004,103.729431152344
Kenya,KEN,SE.PRM.ENRR,2003,103.90389251709
Kenya,KEN,SE.PRM.ENRR,2002,89.2491912841797
Kenya,KEN,SE.PRM.ENRR,2001,95.1509170532227
Kenya,KEN,SE.PRM.ENRR,2000,94.2572402954102
Kenya,KEN,SE.PRM.ENRR,1999,90.6962814331055
Kenya,KEN,SE.PRM.ENRR,1998,92.9180221557617
Kenya,KEN,SE.PRM.ENRR,1995,93.3242416381836
Kenya,KEN,SE.PRM.ENRR,1994,96.3266296386719
Kenya,KEN,SE.PRM.ENRR,1993,100.392936706543
Kenya,KEN,SE.PRM.ENRR,1992,101.50138092041
Kenya,KEN,SE.PRM.ENRR,1991,103.02709197998
Kenya,KEN,SE.PRM.ENRR,1990,105.313667297363
Kenya,KEN,SE.PRM.ENRR,1989,108.858200073242
Kenya,KEN,SE.PRM.ENRR,1988,108.00080871582
Kenya,KEN,SE.PRM.ENRR,1987,109.734260559082
Kenya,KEN,SE.PRM.ENRR,1986,109.913497924805
Kenya,KEN,SE.PRM.ENRR,1985,109.841903686523
Kenya,KEN,SE.PRM.ENRR,1984,114.483093261719
Kenya,KEN,SE.PRM.ENRR,1983,118.230651855469
Kenya,KEN,SE.PRM.ENRR,1982,117.921989440918
Kenya,KEN,SE.PRM.ENRR,1981,115.051246643066
Kenya,KEN,SE.PRM.ENRR,1980,117.302932739258
Kenya,KEN,SE.PRM.ENRR,1979,115.58464050293
